Invoice Number,Date Time,Customer ID,Product ID,Quantity,Price per Unit,Return Status,Sales Channel,Total Sales,Customer Age Group,Region,Product Category
10000,1/1/2021 10:20,74,3,2,24,Not Returned,In-Store,48,26-35,West,Foot wear
10001,8/1/2021 3:10,92,10,6,40.24,Not Returned,In-Store,241.44,18-25,South,Foot wear
1000,5/1/2021 20:24,86,20,5,25.96,Not Returned,Online,129.8,18-25,East,Clothing
10002,11/1/2021 3:43,57,11,6,85.86,Not Returned,Online,515.16,46-55,North,Clothing
10003,2/1/2021 7:26,73,25,5,72.88,Not Returned,In-Store,364.4,56+,West,Clothing
10004,1/1/2021 1:15,98,17,2,25.54,Not Returned,Online,51.08,26-35,East,Accessories
10006,8/1/2021 4:54,44,10,5,59.24,Not Returned,In-Store,296.2,26-35,East,Foot wear
10008,10/1/2021 2:33,17,35,4,21.22,Not Returned,In-Store,84.88,46-55,South,Foot wear
10009,7/1/2021 8:23,34,48,7,42.53,Not Returned,Online,297.71,18-25,North,Foot wear
10010,3/1/2021 12:52,57,19,1,25.56,Returned,In-Store,25.56,46-55,North,Foot wear
10012,10/1/2021 8:29,96,36,1,34.97,Not Returned,Online,34.97,36-45,North,Clothing
1001,9/1/2021 14:53,50,32,2,32.16,Not Returned,In-Store,64.32,46-55,South,Clothing
10014,2/1/2021 18:45,76,24,3,42.49,Not Returned,Online,127.47,26-35,West,Accessories
10015,10/1/2021 1:27,98,40,2,34.85,Not Returned,Online,69.7,26-35,East,Accessories
10016,7/1/2021 14:41,26,21,3,43.16,Not Returned,In-Store,129.48,36-45,East,Clothing
10019,4/1/2021 3:03,65,38,5,70.21,Returned,Online,351.05,26-35,West,Foot wear
10020,8/1/2021 10:11,56,26,6,74.37,Not Returned,Online,446.22,18-25,East,Foot wear
10021,5/1/2021 4:13,92,4,6,61.79,Not Returned,Online,370.74,18-25,South,Clothing
1002,11/1/2021 3:21,27,21,1,91.12,Not Returned,Online,91.12,36-45,North,Clothing
10022,11/1/2021 1:37,79,16,3,52.74,Not Returned,In-Store,158.22,46-55,South,Foot wear
10023,8/1/2021 8:07,47,14,1,63.51,Not Returned,Online,63.51,26-35,East,Clothing
10024,9/1/2021 13:39,82,12,6,38.93,Not Returned,Online,233.58,18-25,South,Clothing
10025,7/1/2021 22:04,71,40,5,20.19,Not Returned,Online,100.95,18-25,North,Accessories
10026,6/1/2021 10:49,99,11,7,53.68,Not Returned,Online,375.76,26-35,South,Clothing
10027,10/1/2021 23:16,41,40,5,84.18,Not Returned,Online,420.9,46-55,East,Accessories
10029,2/1/2021 23:13,60,32,2,40.21,Not Returned,Online,80.42,26-35,West,Clothing
10030,9/1/2021 22:21,97,30,7,94.66,Not Returned,Online,662.62,56+,East,Clothing
10031,7/1/2021 8:31,97,33,6,23.8,Not Returned,Online,142.8,56+,East,Accessories
1003,9/1/2021 7:11,77,23,7,46.6,Not Returned,Online,326.2,18-25,West,Clothing
